,Batch,FPS,Memory,Method,Run,Time
215,6.0,0.0013486176668914363,144.0,LBF,5.0,1.8105480840297345e-05
216,7.0,0.0012634238787113076,144.0,LBF,5.0,1.8224611387148008e-05
217,8.0,0.001199040767386091,144.0,LBF,5.0,2.217423784863818e-05
218,9.0,0.0011350737797956867,144.0,LBF,5.0,1.9348584688626804e-05
219,10.0,0.001081665765278529,144.0,LBF,5.0,2.075682629595746e-05
220,0.0,0.0,144.0,CA-LBF I,6.0,2.030764540580854e-05
221,1.0,0.0,176.0,CA-LBF I,6.0,4.7205575828343795e-05
222,2.0,0.011948529411764705,176.0,CA-LBF I,6.0,5.147235641062586e-05
223,3.0,0.0,176.0,CA-LBF I,6.0,5.2225394327132425e-05
224,4.0,0.0015503875968992248,176.0,CA-LBF I,6.0,4.9454266907738855e-05
225,5.0,0.016812865497076022,208.0,CA-LBF I,6.0,6.543743154390263e-05
226,6.0,0.003424657534246575,208.0,CA-LBF I,6.0,6.302979474510651e-05
227,7.0,0.0012853470437017994,208.0,CA-LBF I,6.0,6.301455445342011e-05
228,8.0,0.007259528130671506,208.0,CA-LBF I,6.0,5.98234134715992e-05
229,9.0,0.0,272.0,CA-LBF I,6.0,6.104170621096433e-05
230,10.0,0.030827474310438075,272.0,CA-LBF I,6.0,6.282984555422605e-05
231,0.0,0.0,144.0,CA-LBF II,6.0,2.024872662269906e-05
232,1.0,0.0009940357852882703,176.0,CA-LBF II,6.0,5.093689173297152e-05
233,2.0,0.0009191176470588235,176.0,CA-LBF II,6.0,5.700549141305392e-05
234,3.0,0.0016806722689075631,176.0,CA-LBF II,6.0,4.254012811379354e-05
235,4.0,0.0015503875968992248,176.0,CA-LBF II,6.0,4.4164761819474684e-05
236,5.0,0.0014619883040935672,208.0,CA-LBF II,6.0,5.407150977296256e-05
237,6.0,0.0013698630136986301,208.0,CA-LBF II,6.0,6.689790819512039e-05
238,7.0,0.0012853470437017994,208.0,CA-LBF II,6.0,7.189892150543548e-05
239,8.0,0.0012099213551119178,208.0,CA-LBF II,6.0,7.35455816918677e-05
240,9.0,0.0017055144968732233,272.0,CA-LBF II,6.0,6.37258802141462e-05
241,10.0,0.0016224986479177934,272.0,CA-LBF II,6.0,6.700348068069625e-05
242,0.0,0,9072.0,IA-LBF,6.0,2.0913947118471745e-05
243,1.0,0,9460.0,IA-LBF,6.0,2.419753152816022e-05
244,2.0,0,10872.0,IA-LBF,6.0,2.3987775291901468e-05
245,3.0,0,12284.0,IA-LBF,6.0,1.9328841746179132e-05
246,4.0,0,13024.0,IA-LBF,6.0,1.931581340852331e-05
247,5.0,0.005847953216374269,14116.0,IA-LBF,6.0,2.4585775990303748e-05
248,6.0,0.0061643835616438354,14904.0,IA-LBF,6.0,2.1215345038742314e-05
249,7.0,0.006426735218508998,15660.0,IA-LBF,6.0,2.005467048058143e-05
250,8.0,0.006049606775559589,16492.0,IA-LBF,6.0,1.9750752291836582e-05
251,9.0,0.0062535531552018195,17412.0,IA-LBF,6.0,1.8229851355919472e-05
252,10.0,0.006489994591671174,18760.0,IA-LBF,6.0,2.162142114324884e-05
253,0.0,0.0,144.0,LBF,6.0,2.015414303296233e-05
254,1.0,0.0009940357852882703,144.0,LBF,6.0,2.2860824084672773e-05
255,2.0,0.0009191176470588235,144.0,LBF,6.0,2.3019769804073813e-05
256,3.0,0.0016806722689075631,144.0,LBF,6.0,1.838559009989754e-05
